minute,location_x,location_y,xg,home_ppda,away_ppda,home_fouls_committed,away_fouls_committed,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,total_match_fouls,total_match_cards,avg_match_ppda,pressing_intensity_score,Atmosphere_Tension_Index,NEW_OPPONENT_PPDA,NEW_IS_HIGH_TENSION,NEW_IS_LATE_GAME,NEW_TENSION_X_PPDA,NEW_FOULS_PER_PPDA,NEW_TOTAL_CARDS,is_goal,body_part_Left Foot,body_part_Right Foot,situation_From Corner,situation_Open Play,situation_Rare,situation_Set Piece
86,0.8869999694824219,0.5640000152587891,0.0243003964424133,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,20.785714285714285,0,1,689.9911111111111,1.5465116279069766,0.0,0,0,0,0,0,0,1
3,0.7240000152587891,0.51,0.0144348395988345,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,20.785714285714285,0,0,689.9911111111111,1.5465116279069766,0.0,0,1,0,1,0,0,0
25,0.8519999694824218,0.5790000152587891,0.0907265841960907,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,20.785714285714285,0,0,689.9911111111111,1.5465116279069766,0.0,0,1,0,0,1,0,0
77,0.7469999694824219,0.4879999923706055,0.0167413800954818,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,20.785714285714285,0,1,689.9911111111111,1.5465116279069766,0.0,0,1,0,1,0,0,0
41,0.76,0.5479999923706055,0.0242491047829389,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,20.785714285714285,0,0,689.9911111111111,1.5465116279069766,0.0,0,0,1,0,1,0,0
2,0.9259999847412108,0.3060000038146973,0.0658746063709259,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,20.785714285714285,0,0,689.9911111111111,1.5465116279069766,0.0,0,0,1,0,1,0,0
28,0.7980000305175782,0.585999984741211,0.0413616076111793,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,20.785714285714285,0,0,689.9911111111111,1.5465116279069766,0.0,0,1,0,0,1,0,0
84,0.9109999847412108,0.434000015258789,0.0570625588297843,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,20.785714285714285,0,1,689.9911111111111,1.5465116279069766,0.0,0,0,0,1,0,0,0
95,0.7919999694824219,0.515,0.0328790582716465,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,20.785714285714285,0,1,689.9911111111111,1.5465116279069766,0.0,0,1,0,0,0,0,1
26,0.906999969482422,0.5690000152587891,0.1013018190860748,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,20.785714285714285,0,0,689.9911111111111,1.5465116279069766,0.0,0,0,1,0,1,0,0
89,0.8809999847412109,0.5279999923706055,0.0410665571689605,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,20.785714285714285,0,1,689.9911111111111,1.5465116279069766,0.0,0,0,0,0,1,0,0
84,0.85,0.409000015258789,0.0489497706294059,20.785714285714285,11.0,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,15.892857142857142,9.107142857142858,56.80952380952381,20.785714285714285,0,1,689.9911111111111,1.5465116279069766,0.0,0,1,0,0,1,0,0
67,0.8230000305175781,0.5120000076293946,0.074710913002491,6.352941176470588,17.352941176470587,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,11.852941176470589,13.147058823529411,56.80952380952381,6.352941176470588,0,0,689.9911111111111,1.5465116279069766,0.0,0,0,1,0,1,0,0
31,0.784000015258789,0.7819999694824219,0.0406368002295494,6.352941176470588,17.352941176470587,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,11.852941176470589,13.147058823529411,56.80952380952381,6.352941176470588,0,0,689.9911111111111,1.5465116279069766,0.0,0,0,1,0,0,0,0
13,0.8909999847412109,0.504000015258789,0.0279384776949882,6.352941176470588,17.352941176470587,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,11.852941176470589,13.147058823529411,56.80952380952381,6.352941176470588,0,0,689.9911111111111,1.5465116279069766,0.0,0,0,0,0,0,0,1
23,0.774000015258789,0.6359999847412109,0.0246792007237672,6.352941176470588,17.352941176470587,10.0,11.0,2.0,2.0,0.0,0.0,21.0,12.0,11.852941176470589,13.147058823529411,56.80952380952381,6.352941176470588,0,0,689.9911111111111,1.5465116279069766,0.0,0,0,1,0,1,0,0
