player,team,Total_Shots,Actual_Goals,Classic_xG,Contextual_xG,Overperformance_cxG,xG_Difference
Malick Thiaw,Newcastle United,28,4,5.9,4.54,-0.54,-1.36
Mathis Cherki,Manchester City,53,4,4.56,3.36,0.64,-1.19
Taiwo Awoniyi,Nottingham Forest,13,4,4.06,3.23,0.77,-0.82
Cristian Romero,Tottenham,17,4,1.84,1.93,2.07,0.09
Declan Rice,Arsenal,40,4,3.72,3.62,0.38,-0.11
Donyell Malen,Aston Villa,26,4,4.74,4.19,-0.19,-0.55
Brenden Aaronson,Leeds,42,4,5.61,5.01,-1.01,-0.6
Virgil van Dijk,Liverpool,27,4,4.32,3.25,0.75,-1.07
Daniel Muñoz,Crystal Palace,23,4,2.84,2.44,1.56,-0.4
Chemsdine Talbi,Sunderland,25,4,2.32,2.48,1.52,0.16
Valentín Castellanos,West Ham,38,4,5.42,4.62,-0.62,-0.8
Elliot Anderson,Nottingham Forest,43,4,3.43,3.84,0.16,0.41
Mateus Fernandes,West Ham,25,3,1.72,1.89,1.11,0.18
Nordi Mukiele,Sunderland,23,3,2.64,2.39,0.61,-0.25
Callum Hudson-Odoi,Nottingham Forest,30,3,2.95,2.78,0.22,-0.17
Patrick Dorgu,Manchester United,21,3,2.12,2.05,0.95,-0.07
Mathias Jensen,Brentford,28,3,1.55,1.81,1.19,0.26
Trevoh Chalobah,Chelsea,16,3,1.84,1.98,1.02,0.13
Dominic Solanke,Tottenham,20,3,3.59,3.17,-0.17,-0.41
Moisés Caicedo,Chelsea,26,3,1.45,1.64,1.36,0.19
Jacob Murphy,Newcastle United,40,3,3.09,2.61,0.39,-0.48
Alex Scott,Bournemouth,44,3,3.5,3.7,-0.7,0.2
Alexander Isak,Liverpool,17,3,3.25,2.86,0.14,-0.38
Tolu Arokodare,Wolverhampton Wanderers,44,3,6.87,5.81,-2.81,-1.07
Emile Smith-Rowe,Fulham,34,3,4.16,3.95,-0.95,-0.21
Keane Lewis-Potter,Brentford,28,3,3.14,2.82,0.18,-0.32
Chimuanya Ugochukwu,Burnley,21,3,2.54,2.66,0.34,0.12
Konstantinos Mavropanos,West Ham,24,3,2.77,2.52,0.48,-0.25
Jan Paul van Hecke,Brighton,23,3,2.79,2.39,0.61,-0.41
Yankuba Minteh,Brighton,41,3,4.75,3.73,-0.73,-1.02
Yasin Ayari,Brighton,41,3,2.12,2.2,0.8,0.08
Mathys Tel,Tottenham,29,3,2.29,2.17,0.83,-0.12
Mason Mount,Manchester United,18,3,1.71,1.6,1.4,-0.12
Ryan Sessegnon,Fulham,16,3,2.05,2.17,0.83,0.12
Jurriën Timber,Arsenal,25,3,4.03,2.92,0.08,-1.11
Amine Adli,Bournemouth,20,3,3.57,2.99,0.01,-0.59
Gabriel,Arsenal,26,3,4.63,3.31,-0.31,-1.33
Matthew Cash,Aston Villa,29,3,1.2,1.85,1.15,0.65
Ross Barkley,Aston Villa,17,3,1.88,1.93,1.07,0.06
Georginio Rutter,Brighton,40,3,2.69,2.44,0.56,-0.25
Samuel Chukwueze,Fulham,25,3,2.33,2.38,0.62,0.05
Jørgen Strand Larsen,Crystal Palace,18,3,2.67,2.39,0.61,-0.28
Rodrigo Gomes,Wolverhampton Wanderers,17,3,1.82,1.96,1.04,0.14
Michael Keane,Everton,24,3,3.53,2.64,0.36,-0.89
Chris Wood,Nottingham Forest,20,3,2.75,2.22,0.78,-0.53
Kaoru Mitoma,Brighton,32,3,4.79,3.73,-0.73,-1.06
Lyle Foster,Burnley,20,3,3.59,3.1,-0.1,-0.49
Justin Kluivert,Bournemouth,16,2,2.2,2.05,-0.05,-0.15
Sean Longstaff,Leeds,14,2,0.76,0.88,1.12,0.13
Mohammed Kudus,Tottenham,26,2,2.36,2.1,-0.1,-0.27
Neco Williams,Nottingham Forest,43,2,1.79,2.16,-0.16,0.38
Ladislav Krejcí,Wolverhampton Wanderers,20,2,1.66,1.49,0.51,-0.17
Charalampos Kostoulas,Brighton,17,2,2.07,1.89,0.11,-0.18
Xavi Simons,Tottenham,42,2,2.72,2.91,-0.91,0.19
Loum Tchaouna,Burnley,21,2,1.2,1.31,0.69,0.12
Joshua Zirkzee,Manchester United,22,2,3.48,2.58,-0.58,-0.9
Bernardo Silva,Manchester City,26,2,2.62,1.9,0.1,-0.71
Malo Gusto,Chelsea,12,2,1.94,1.67,0.33,-0.28
Yeremi Pino,Crystal Palace,41,2,4.13,3.29,-1.29,-0.84
Marc Guehi,Crystal Palace,15,2,2.6,1.86,0.14,-0.73
Maxim De Cuyper,Brighton,11,2,1.59,1.72,0.28,0.13
Mats Wieffer,Brighton,18,2,1.93,1.39,0.61,-0.54
Archie Gray,Tottenham,11,2,1.59,1.37,0.63,-0.22
Mateus Mané,Wolverhampton Wanderers,35,2,1.65,2.29,-0.29,0.64
Ao Tanaka,Leeds,16,2,2.14,1.72,0.28,-0.42
Josko Gvardiol,Manchester City,16,2,1.82,1.36,0.64,-0.45
Joelinton,Newcastle United,32,2,2.18,1.98,0.02,-0.2
Dan Ballard,Sunderland,25,2,3.7,2.74,-0.74,-0.95
James Garner,Everton,43,2,2.05,2.24,-0.24,0.19
Jacob Ramsey,Newcastle United,16,2,1.21,1.2,0.8,-0.01
